,author,description,publishedAt,source,title,url,urlToImage
2897,Associated Press,The father of a Mongolian model whose murder touched off a scandal in the highest levels of Malaysia's recently ousted ruling party said Tuesday he will ask new Prime Minister Mahathir Mohamad to reopen the investigation into his daughter's death.,2018-06-19T14:10:23Z,"{'id': 'fox-news', 'name': 'Fox News'}",Slain Mongolian model's father seeks Malaysia to reopen case,http://www.foxnews.com/world/2018/06/19/slain-mongolian-models-father-seeks-malaysia-to-reopen-case.html,http://a57.foxnews.com/images.foxnews.com/content/fox-news/world/2018/06/19/slain-mongolian-models-father-seeks-malaysia-to-reopen-case/_jcr_content/par/featured-media/media-0.img.png/0/0/1529418459192.png?ve=1
2898,Jennifer Earl,"Fox News Queen Elizabeth's granddaughter Zara Tindall gives birth to 2nd child after suffering miscarriage Fox News The royal family is continuing to grow. Queen Elizabeth's granddaughter Zara Tindall just welcomed her second child on Monday, Buckingham Palac…",2018-06-19T14:06:32Z,"{'id': 'fox-news', 'name': 'Fox News'}",Queen Elizabeth's granddaughter Zara Tindall gives birth to 2nd child after suffering miscarriage - Fox News,http://www.foxnews.com/entertainment/2018/06/19/queen-elizabeths-granddaughter-zara-tindall-gives-birth-to-2nd-child-after-suffering-miscarriage.html,http://a57.foxnews.com/images.foxnews.com/content/fox-news/entertainment/2018/06/19/queen-elizabeths-granddaughter-zara-tindall-gives-birth-to-2nd-child-after-suffering-miscarriage/_jcr_content/par/featured_image/media-0.img.jpg/0/0/1529416458313.jpg?ve=1
2899,James Rogers,"Google has developed an artificial intelligence algorithm that could predict when you’ll die with up to 95 percent accuracy, according to the tech giant’s researchers.",2018-06-19T14:02:26Z,"{'id': 'fox-news', 'name': 'Fox News'}","Google AI can predict when you'll die with 95 percent accuracy, researchers say",http://www.foxnews.com/tech/2018/06/19/google-ai-can-predict-when-youll-die-with-95-percent-accuracy-researchers-say.html,http://a57.foxnews.com/media2.foxnews.com/BrightCove/694940094001/2018/06/19/0/0/694940094001_5799220928001_5799217775001-vs.jpg?ve=1
2900,news.com.au,A keeper at Perth Zoo has written a beautiful tribute to the world’s oldest Sumatran orangutan after she passed away at the age of 62.,2018-06-19T16:44:00Z,"{'id': 'fox-news', 'name': 'Fox News'}",Zookeeper's heartfelt tribute to world's oldest Sumatran orangutan,http://www.foxnews.com/science/2018/06/19/zookeepers-heartfelt-tribute-to-worlds-oldest-sumatran-orangutan.html,http://a57.foxnews.com/images.foxnews.com/content/fox-news/science/2018/06/19/zookeepers-heartfelt-tribute-to-worlds-oldest-sumatran-orangutan/_jcr_content/par/featured_image/media-0.img.jpg/0/0/1529426856203.jpg?ve=1
2901,Brooke Singman,Justice Department Inspector General Michael Horowitz confirmed Tuesday that he is investigating whether FBI official Peter Strzok’s anti-Trump bias factored into the launch of the bureau’s Russia probe.,2018-06-19T16:24:17Z,"{'id': 'fox-news', 'name': 'Fox News'}",IG confirms he is reviewing whether Strzok's anti-Trump bias impacted launch of Russia probe,http://www.foxnews.com/politics/2018/06/19/ig-confirms-is-reviewing-whether-strzoks-anti-trump-bias-impacted-launch-russia-probe.html,http://a57.foxnews.com/media2.foxnews.com/BrightCove/694940094001/2018/06/19/0/0/694940094001_5799347387001_5799341265001-vs.jpg?ve=1
2902,"Rafi Letzter, Staff Writer","Scientists in China found a fossil from a giant panda that lived 22,000 years ago. Until they excavated the fossil, reassembled it and analyzed its mitochondrial DNA, biologists had no idea this panda lineage even existed.",2018-06-19T16:14:00Z,"{'id': 'fox-news', 'name': 'Fox News'}",The oldest DNA from giant pandas was just discovered in a cave in China,http://www.foxnews.com/science/2018/06/19/oldest-dna-from-giant-pandas-was-just-discovered-in-cave-in-china.html,http://a57.foxnews.com/images.foxnews.com/content/fox-news/science/2018/06/19/oldest-dna-from-giant-pandas-was-just-discovered-in-cave-in-china/_jcr_content/par/featured_image/media-0.img.jpg/0/0/1529425949574.jpg?ve=1
2903,,Inspector general Michael Horowitz testifies before joint hearing of the House Judiciary and Oversight Committees on whether anti-Trump FBI agent Peter Strzok's political bias affected the initiation of Special Counsel Robert Mueller's investigation.,2018-06-19T16:05:59Z,"{'id': 'fox-news', 'name': 'Fox News'}",Horowitz reviewing if Strzok's bias affected Russia probe,http://video.foxnews.com/v/5799341265001/,http://a57.foxnews.com/media2.foxnews.com/BrightCove/694940094001/2018/06/19/640/360/694940094001_5799347387001_5799341265001-vs.jpg
2904,,"Investigation Discovery is set to premiere a docuseries about Kelly Cochran, a woman who brutally murdered both her lover and her husband.",2018-06-19T16:02:44Z,"{'id': 'fox-news', 'name': 'Fox News'}",Gruesome murder featured in new Kelly Cochran docuserie,http://video.foxnews.com/v/5799341248001/,http://a57.foxnews.com/media2.foxnews.com/BrightCove/694940094001/2018/06/19/640/360/694940094001_5799344827001_5799341248001-vs.jpg
2905,,Justice Department Inspector General Michael Horowitz gives an opening statement to the House Oversight Committee hearing on his review of the Hillary Clinton email case.,2018-06-19T15:37:55Z,"{'id': 'fox-news', 'name': 'Fox News'}",Horowitz: Comey clearly departed from FBI norms,http://video.foxnews.com/v/5799326090001/,http://a57.foxnews.com/media2.foxnews.com/BrightCove/694940094001/2018/06/19/640/360/694940094001_5799331918001_5799326090001-vs.jpg
2906,Adam Shaw,Fox News UN's scathing reports stoke US concerns about anti-Israel bias Fox News Report shows United Nations members voted with the United States 31 percent of the time over the past year; Claudia Rosett of the Independent Women's Forum reacts. The United Nat…,2018-06-19T15:23:53Z,"{'id': 'fox-news', 'name': 'Fox News'}",UN's scathing reports stoke US concerns about anti-Israel bias - Fox News,http://www.foxnews.com/politics/2018/06/19/uns-scathing-reports-stoke-us-concerns-about-anti-israel-bias.html,http://a57.foxnews.com/media2.foxnews.com/BrightCove/694940094001/2018/05/02/0/0/694940094001_5779643273001_5779644613001-vs.jpg?ve=1
